GEO_LVL2_N
CAROLINAS
HEARTLAND
MID-AMERICA
MID-ATLANTIC
MIDWEST
NORTHEAST
NORTHWEST
SOUTHCENTRAL
SOUTHEAST
SOUTHWEST
